param n=100;
param m=6;
param K = 18;
param Q = 60;
param L =38;
param HC:=
1 204.17
2 197.202
3 256.53
4 244.5
5 256.902
6 236.728;

param o:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
2	98.48857802	0	167.6305461	136.0147051	70	85.44003745	94.33981132	14.14213562	41.23105626	86.02325267	70.71067812	40	50	122.0655562	143.1782106	41.23105626	158.113883	107.7032961	102.9563014	186.0107524	150	42.42640687	70.71067812	41.23105626	63.2455532	200.9975124	72.80109889	150.3329638	107.7032961	113.137085	113.137085	130.3840481	86.02325267	63.2455532	193.1320792	80.62257748	192.0937271	193.1320792	156.2049935	70.71067812	151.3274595	100.4987562	127.2792206	28.28427125	30	114.0175425	121.6552506	110	58.30951895	44.72135955	158.113883	136.0147051	80.62257748	80	22.36067977	72.80109889	174.9285568	106.3014581	41.23105626	70.71067812	170.8800749	98.99494937	56.56854249	89.4427191	233.2380758	92.19544457	78.10249676	92.19544457	180.2775638	14.14213562	165.5294536	76.15773106	85.44003745	192.3538406	92.19544457	170	86.02325267	89.4427191	80	184.3908891	120.4159458	80.62257748	67.08203932	44.72135955	72.11102551	147.6482306	80.62257748	106.3014581	161.5549442	106.3014581	177.2004515	102.9563014	56.56854249	94.33981132	141.4213562	114.0175425	64.03124237	101.9803903	53.85164807	100
3	184.3908891	167.6305461	0	58.30951895	235.3720459	113.137085	170.2938637	180.2775638	203.9607805	162.788206	232.594067	160.3121954	190.2629759	134.1640786	28.28427125	170.2938637	100.4987562	260.1922366	252.3885893	160.3121954	50.99019514	131.5294644	192.0937271	174.9285568	104.4030651	80.62257748	216.3330765	41.23105626	192.0937271	272.9468813	85.44003745	280.1785145	250.7987241	140.3566885	28.28427125	200.9975124	170.2938637	121.6552506	155.241747	98.48857802	70.71067812	212.1320344	80.62257748	143.1782106	178.8854382	138.9244399	247.5883681	274.5906044	130	180.2775638	143.1782106	271.6615541	90.55385138	94.33981132	189.7366596	184.3908891	41.23105626	144.222051	150.3329638	110	110	259.4224354	120.4159458	80.62257748	174.642492	254.9509757	141.4213562	230.2172887	44.72135955	155.241747	22.36067977	176.9180601	192.3538406	140.3566885	251.7935662	130.3840481	230	123.6931688	162.788206	92.19544457	286.3564213	121.6552506	170.2938637	140.3566885	120.4159458	123.6931688	127.2792206	268.3281573	14.14213562	264.1968963	100.4987562	269.2582404	200.2498439	240	300.1666204	248.394847	210.2379604	92.19544457	212.1320344	264.0075756
4	183.8477631	136.0147051	58.30951895	0	196.977156	114.0175425	170.8800749	150	165.5294536	161.5549442	206.1552813	117.0469991	145.6021978	150.3329638	58.30951895	126.4911064	136.0147051	213.7755833	233.4523506	194.1648784	89.4427191	94.33981132	180.2775638	156.2049935	78.10249676	134.5362405	198.4943324	80.62257748	193.1320792	248.394847	30	261.7250466	222.0360331	92.19544457	70.71067812	150.3329638	203.9607805	165.5294536	180.2775638	80.62257748	107.7032961	205.9126028	22.36067977	108.1665383	155.5634919	151.3274595	238.5372088	234.0939982	85.44003745	136.0147051	171.1724277	220	56.56854249	85.44003745	158.113883	174.9285568	41.23105626	152.9705854	107.7032961	67.08203932	148.6606875	234.3074903	80.62257748	50	219.317122	228.035085	139.2838828	181.1077028	98.99494937	122.0655562	41.23105626	170	140	180.2775638	208.8061302	164.924225	182.4828759	70	110	138.9244399	246.9817807	70.71067812	161.245155	98.48857802	72.80109889	151.3274595	126.4911064	242.0743687	44.72135955	240.8318916	143.1782106	238.5372088	155.241747	192.3538406	276.5863337	236.0084744	164.924225	100.4987562	170.8800749	236.0084744
5	142.126704	70	235.3720459	196.977156	0	152.9705854	144.222051	60.8276253	31.6227766	138.9244399	53.85164807	80.62257748	56.56854249	183.8477631	212.1320344	72.11102551	225.6102835	50	92.19544457	245.9674775	220	104.4030651	106.3014581	89.4427191	131.5294644	270.7397274	86.02325267	220.2271555	148.6606875	80.62257748	170	110	50	108.1665383	259.6150997	76.15773106	250.5992817	259.6150997	214.7091055	140.3566885	220.9072203	128.0624847	183.5755975	92.19544457	76.15773106	174.642492	130	40	111.8033989	64.03124237	219.317122	89.4427191	145.6021978	150	50.99019514	114.0175425	237.6972865	165.5294536	89.4427191	130	237.6972865	70	117.0469991	155.241747	295.4657341	60	139.2838828	60	250.1999201	80.62257748	230.8679276	122.0655562	89.4427191	256.3201124	28.28427125	234.0939982	50	136.0147051	106.3014581	253.179778	50.99019514	130.3840481	116.6190379	98.48857802	125.2996409	211.896201	145.6021978	70.71067812	228.035085	80	245.1530134	53.85164807	50	50.99019514	104.4030651	117.0469991	44.72135955	171.1724277	28.28427125	60.8276253
6	72.11102551	85.44003745	113.137085	114.0175425	152.9705854	0	58.30951895	92.19544457	126.4911064	50	131.5294644	106.3014581	130.3840481	44.72135955	84.85281374	114.0175425	72.80109889	193.1320792	143.1782106	106.3014581	76.15773106	78.10249676	80.62257748	70.71067812	53.85164807	120.4159458	107.7032961	80.62257748	80.62257748	167.6305461	110	170	151.3274595	108.1665383	141.4213562	156.2049935	114.0175425	107.7032961	80.62257748	41.23105626	70.71067812	98.99494937	120.4159458	78.10249676	80	41.23105626	134.5362405	192.3538406	94.33981132	122.0655562	78.10249676	219.544984	70.71067812	30	101.9803903	72.11102551	138.9244399	40	98.99494937	85.44003745	85.44003745	155.241747	80.62257748	70	150	152.9705854	28.28427125	174.9285568	107.7032961	80.62257748	122.0655562	64.03124237	155.5634919	108.1665383	177.2004515	86.02325267	170	117.0469991	136.0147051	100.4987562	200.9975124	107.7032961	58.30951895	92.19544457	98.48857802	64.03124237	14.14213562	164.924225	114.0175425	158.113883	92.19544457	171.1724277	138.9244399	178.8854382	193.1320792	136.0147051	147.6482306	22.36067977	139.2838828	162.788206
7	14.14213562	94.33981132	170.2938637	170.8800749	144.222051	58.30951895	0	92.19544457	127.2792206	10	104.4030651	130	144.222051	50.99019514	142.126704	134.1640786	104.4030651	192.0937271	100.4987562	104.4030651	128.0624847	111.8033989	41.23105626	56.56854249	100.4987562	161.5549442	70.71067812	134.5362405	22.36067977	130	162.788206	123.6931688	123.6931688	143.1782106	198.4943324	174.9285568	107.7032961	130.3840481	72.80109889	92.19544457	116.6190379	44.72135955	174.642492	104.4030651	70.71067812	41.23105626	80.62257748	178.8854382	131.5294644	138.9244399	80.62257748	226.27417	121.6552506	85.44003745	98.99494937	31.6227766	197.2308292	31.6227766	126.4911064	130	111.8033989	120.4159458	120.4159458	123.6931688	155.241747	121.6552506	31.6227766	184.3908891	158.113883	98.48857802	180.2775638	22.36067977	178.8854382	120.4159458	172.0465053	100	176.9180601	160.3121954	167.6305461	136.0147051	183.8477631	150.3329638	28.28427125	123.6931688	140.3566885	80.62257748	44.72135955	130.3840481	172.0465053	120	123.6931688	143.1782106	150	183.8477631	151.3274595	85.44003745	156.2049935	78.10249676	141.4213562	131.5294644
8	94.33981132	14.14213562	180.2775638	150	60.8276253	92.19544457	92.19544457	0	36.05551275	84.85281374	56.56854249	50.99019514	53.85164807	125.2996409	155.241747	50	164.924225	102.9563014	89.4427191	188.6796226	160.3121954	56.56854249	63.2455532	36.05551275	76.15773106	210.2379604	60.8276253	161.245155	102.9563014	98.99494937	127.2792206	116.6190379	72.11102551	76.15773106	206.1552813	85.44003745	194.1648784	199.2485885	158.113883	82.46211251	160.3121954	92.19544457	141.4213562	42.42640687	22.36067977	116.6190379	110.4536102	100.4987562	72.11102551	50.99019514	161.245155	134.5362405	94.33981132	90.55385138	10	67.08203932	188.6796226	108.1665383	53.85164807	84.85281374	177.2004515	84.85281374	70.71067812	102.9563014	237.0653918	78.10249676	80.62257748	92.19544457	191.0497317	28.28427125	178.8854382	72.11102551	92.19544457	196.977156	85.44003745	174.642492	84.85281374	102.9563014	90.55385138	192.3538406	110	94.33981132	64.03124237	58.30951895	86.02325267	152.3154621	85.44003745	92.19544457	174.642492	92.19544457	184.3908891	89.4427191	58.30951895	92.19544457	127.2792206	101.9803903	64.03124237	110.4536102	50	86.02325267
9	128.0624847	41.23105626	203.9607805	165.5294536	31.6227766	126.4911064	127.2792206	36.05551275	0	120.4159458	60.8276253	50	31.6227766	161.245155	181.1077028	42.42640687	199.2485885	67.08203932	100.4987562	224.7220505	190.2629759	72.80109889	94.33981132	70.71067812	100.4987562	241.8677324	82.46211251	190	136.0147051	98.48857802	138.9244399	123.6931688	67.08203932	78.10249676	228.035085	60	230.2172887	234.0939982	194.1648784	110	192.3538406	120.8304597	152.6433752	60.8276253	56.56854249	152.6433752	131.5294644	70.71067812	80.62257748	36.05551275	197.2308292	98.99494937	114.0175425	120.4159458	28.28427125	100	206.1552813	144.222051	58.30951895	98.48857802	211.896201	85.44003745	85.44003745	123.6931688	272.9468813	76.15773106	116.6190379	58.30951895	220	50	199.2485885	106.3014581	70.71067812	232.594067	50.99019514	210.2379604	50	106.3014581	80.62257748	225.6102835	82.46211251	100	98.99494937	67.08203932	94.33981132	187.8829423	120.8304597	89.4427191	196.468827	94.86832981	218.4032967	78.10249676	30	56.56854249	125.2996409	120.4159458	31.6227766	143.1782106	14.14213562	80.62257748
10	22.36067977	86.02325267	162.788206	161.5549442	138.9244399	50	10	84.85281374	120.4159458	0	101.9803903	120.8304597	136.0147051	50	134.5362405	125.2996409	101.9803903	186.0107524	101.9803903	107.7032961	122.0655562	101.9803903	40	50	90.55385138	158.113883	70	128.0624847	31.6227766	130.3840481	152.9705854	126.4911064	121.6552506	133.4166406	191.0497317	166.4331698	111.8033989	130	76.15773106	82.46211251	111.8033989	50	164.924225	94.86832981	64.03124237	40	86.02325267	174.642492	121.6552506	130.3840481	82.46211251	219.317122	111.8033989	76.15773106	92.19544457	30	188.6796226	30	117.0469991	120	110.4536102	120	110.4536102	114.0175425	158.113883	120.4159458	22.36067977	176.9180601	152.6433752	89.4427191	172.0465053	20	170	121.6552506	166.4331698	100.4987562	169.7056275	150.3329638	158.113883	133.4166406	180.2775638	140.3566885	22.36067977	114.0175425	130.3840481	80	36.05551275	130	164.0121947	120.4159458	121.6552506	141.4213562	142.126704	176.9180601	152.9705854	89.4427191	148.6606875	70.71067812	134.5362405	130.3840481
11	98.48857802	70.71067812	232.594067	206.1552813	53.85164807	131.5294644	104.4030651	56.56854249	60.8276253	101.9803903	0	102.9563014	92.19544457	151.3274595	206.1552813	98.48857802	200	102.9563014	40	208.8061302	206.1552813	113.137085	63.2455532	60.8276253	130.3840481	251.7935662	36.05551275	208.8061302	102.9563014	42.42640687	183.8477631	63.2455532	20	130.3840481	259.4224354	120.4159458	211.896201	230.8679276	177.2004515	134.1640786	202.2374842	78.10249676	197.9898987	98.99494937	53.85164807	141.4213562	76.15773106	78.10249676	128.0624847	94.86832981	184.3908891	143.1782106	150	139.2838828	50	72.80109889	244.1311123	131.5294644	108.1665383	141.4213562	210.2379604	28.28427125	127.2792206	158.113883	259.6150997	22.36067977	110	111.8033989	237.6972865	84.85281374	233.2380758	82.46211251	131.5294644	223.6067977	80.62257748	202.2374842	101.9803903	158.113883	139.2838828	230.2172887	80.62257748	150	80.62257748	114.0175425	142.126704	181.1077028	120.4159458	36.05551275	228.2542442	36.05551275	220	40	90.55385138	104.4030651	70.71067812	63.2455532	90	152.9705854	70	31.6227766
12	136.0147051	40	160.3121954	117.0469991	80.62257748	106.3014581	130	50.99019514	50	120.8304597	102.9563014	0	30	148.6606875	140.3566885	10	174.9285568	100	139.2838828	212.1320344	155.241747	31.6227766	110.4536102	80.62257748	63.2455532	208.8061302	111.8033989	152.9705854	145.6021978	144.222051	89.4427191	165.5294536	114.0175425	28.28427125	182.4828759	50	219.317122	210.9502311	184.3908891	76.15773106	161.5549442	140.3566885	102.9563014	28.28427125	70	142.126704	161.245155	117.0469991	31.6227766	20	183.8477631	117.0469991	70	89.4427191	53.85164807	111.8033989	158.113883	136.0147051	10	50.99019514	188.6796226	130.3840481	40	80	256.1249695	122.0655562	108.1665383	72.80109889	182.4828759	31.6227766	152.9705854	114.0175425	50	214.0093456	92.19544457	192.0937271	70.71067812	56.56854249	40	196.977156	130	50	104.4030651	20	44.72135955	170.2938637	106.3014581	136.0147051	151.3274595	138.9244399	192.3538406	127.2792206	40	80.62257748	172.0465053	152.9705854	50	116.6190379	53.85164807	128.0624847
13	147.6482306	50	190.2629759	145.6021978	56.56854249	130.3840481	144.222051	53.85164807	31.6227766	136.0147051	92.19544457	30	0	170.2938637	170.2938637	20	201.246118	70	131.5294644	234.3074903	184.3908891	60.8276253	117.0469991	89.4427191	92.19544457	237.6972865	110.4536102	182.4828759	156.5247584	130	117.0469991	155.241747	98.48857802	53.85164807	212.1320344	31.6227766	240.8318916	237.0653918	205.1828453	104.4030651	189.7366596	145.6021978	130	53.85164807	76.15773106	162.788206	160.3121954	89.4427191	60.8276253	10	206.1552813	89.4427191	100	117.0469991	50.99019514	120.8304597	186.8154169	155.5634919	40	80.62257748	214.7091055	117.0469991	70	110	280.1785145	107.7032961	127.2792206	44.72135955	212.1320344	50	182.4828759	125.2996409	40	238.5372088	63.2455532	216.3330765	41.23105626	80.62257748	50	224.7220505	102.9563014	76.15773106	116.6190379	50	72.80109889	194.1648784	128.0624847	120.8304597	181.1077028	126.4911064	219.317122	108.1665383	10	50.99019514	156.5247584	150	20	143.1782106	28.28427125	111.8033989
14	63.2455532	122.0655562	134.1640786	150.3329638	183.8477631	44.72135955	50.99019514	125.2996409	161.245155	50	151.3274595	148.6606875	170.2938637	0	107.7032961	155.5634919	53.85164807	228.2542442	151.3274595	64.03124237	86.02325267	122.0655562	90	94.86832981	98.48857802	111.8033989	120	94.33981132	67.08203932	180.2775638	151.3274595	174.642492	171.1724277	152.6433752	161.245155	197.9898987	70.71067812	80	36.05551275	85.44003745	70.71067812	94.86832981	160.3121954	120.4159458	107.7032961	10	130	221.3594362	138.9244399	162.788206	36.05551275	258.069758	114.0175425	72.80109889	134.1640786	80	167.6305461	20	142.126704	130	60.8276253	170	125.2996409	111.8033989	111.8033989	170.2938637	44.72135955	214.0093456	113.137085	120.4159458	148.6606875	70	198.4943324	72.80109889	210.2379604	50.99019514	208.0865205	161.5549442	180.2775638	85.44003745	228.035085	152.3154621	70.71067812	136.0147051	143.1782106	30	42.42640687	180	139.2838828	170.2938637	72.80109889	191.0497317	178.0449381	216.3330765	202.2374842	136.0147051	186.0107524	50	174.9285568	180.2775638
15	156.2049935	143.1782106	28.28427125	58.30951895	212.1320344	84.85281374	142.126704	155.241747	181.1077028	134.5362405	206.1552813	140.3566885	170.2938637	107.7032961	0	150.3329638	80.62257748	240.208243	224.7220505	140.3566885	31.6227766	110	164.0121947	147.6482306	80.62257748	78.10249676	188.6796226	22.36067977	164.0121947	245.9674775	78.10249676	252.3885893	224.7220505	123.6931688	56.56854249	184.3908891	150.3329638	107.7032961	131.5294644	72.80109889	50.99019514	183.8477631	78.10249676	120.4159458	152.3154621	111.8033989	219.317122	251.7935662	111.8033989	160.3121954	120.4159458	254.9509757	70.71067812	67.08203932	164.924225	156.2049935	60.8276253	116.6190379	130.3840481	92.19544457	92.19544457	232.594067	100.4987562	60.8276253	161.5549442	228.4731932	113.137085	212.1320344	44.72135955	131.5294644	41.23105626	148.6606875	177.2004515	123.6931688	230.2172887	110.4536102	210.9502311	111.8033989	148.6606875	80.62257748	263.0589288	107.7032961	142.126704	120.4159458	104.4030651	100.4987562	98.99494937	241.6609195	31.6227766	237.0653918	85.44003745	243.5159132	180.2775638	220.9072203	272.9468813	220.2271555	190.2629759	64.03124237	190.2629759	237.6972865
16	139.2838828	41.23105626	170.2938637	126.4911064	72.11102551	114.0175425	134.1640786	50	42.42640687	125.2996409	98.48857802	10	20	155.5634919	150.3329638	0	183.5755975	90	136.0147051	219.317122	164.924225	41.23105626	111.8033989	82.46211251	72.80109889	218.4032967	110.4536102	162.788206	148.6606875	138.9244399	98.48857802	161.5549442	108.1665383	36.05551275	192.3538406	42.42640687	226.27417	219.544984	191.0497317	85.44003745	170.8800749	141.4213562	111.8033989	36.05551275	70.71067812	148.6606875	160.3121954	107.7032961	41.23105626	10	191.0497317	107.7032961	80	98.48857802	50.99019514	114.0175425	167.6305461	142.126704	20	60.8276253	197.2308292	125.2996409	50	90	264.0075756	116.6190379	114.0175425	63.2455532	192.3538406	36.05551275	162.788206	117.0469991	44.72135955	222.0360331	82.46211251	200	60.8276253	64.03124237	41.23105626	206.1552813	120.8304597	58.30951895	107.7032961	30	53.85164807	178.0449381	113.137085	130.3840481	161.245155	134.1640786	201.246118	120.4159458	30	70.71067812	166.4331698	151.3274595	40	125.2996409	44.72135955	122.0655562
17	117.0469991	158.113883	100.4987562	136.0147051	225.6102835	72.80109889	104.4030651	164.924225	199.2485885	101.9803903	200	174.9285568	201.246118	53.85164807	80.62257748	183.5755975	0	265.7066051	203.9607805	60	50	144.222051	141.4213562	140.3566885	114.0175425	58.30951895	171.1724277	60	120.8304597	231.9482701	147.6482306	228.035085	220	170.2938637	123.6931688	224.7220505	70	36.05551275	58.30951895	100	30	148.6606875	152.3154621	147.6482306	151.3274595	63.2455532	183.8477631	264.7640459	156.2049935	192.3538406	44.72135955	290.6888371	120.4159458	86.02325267	174.642492	131.5294644	140	72.80109889	166.4331698	141.4213562	14.14213562	220.9072203	142.126704	114.0175425	86.02325267	220.2271555	90	245.9674775	67.08203932	152.3154621	120	121.6552506	222.0360331	44.72135955	250	30	241.6609195	170.2938637	198.4943324	31.6227766	272.9468813	162.788206	120.4159458	158.113883	155.5634919	28.28427125	80.62257748	230.8679276	110	222.0360331	20	240	210.2379604	250.7987241	254.9509757	189.7366596	219.317122	58.30951895	211.896201	230.2172887
18	191.0497317	107.7032961	260.1922366	213.7755833	50	193.1320792	192.0937271	102.9563014	67.08203932	186.0107524	102.9563014	100	70	228.2542442	240.208243	90	265.7066051	0	139.2838828	291.5475947	253.179778	130.3840481	155.5634919	136.0147051	161.245155	305.9411708	136.0147051	251.7935662	197.9898987	121.6552506	184.3908891	152.9705854	94.86832981	121.6552506	281.6025568	67.08203932	296.8164416	300.8321791	260.7680962	172.626765	257.0992026	178.0449381	196.468827	121.6552506	122.0655562	219.544984	178.8854382	41.23105626	130.3840481	80	264.1968963	41.23105626	170	184.3908891	94.33981132	162.788206	254.9509757	210.9502311	110	150.3329638	278.5677655	114.0175425	140	180	340	104.4030651	183.5755975	36.05551275	281.6025568	114.0175425	251.7935662	170.2938637	80.62257748	299.6664813	22.36067977	277.3084925	31.6227766	145.6021978	107.7032961	291.2043956	53.85164807	143.1782106	164.0121947	120	141.4213562	254.9509757	187.8829423	111.8033989	250.7987241	123.6931688	284.6049894	90.55385138	60	22.36067977	140	165.5294536	50	208.8061302	53.85164807	101.9803903
