param n=100;
param m=4;
param K = 25;
param Q = 60;
param L =40;
param HC:= 
1 239.453
2 231.682
3 268.779
4 259.268;

param o:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
10	214.0093456	70.71067812	117.0469991	120.4159458	63.2455532	110	136.0147051	120.4159458	40	0	170.8800749	85.44003745	150	130	98.99494937	150	121.6552506	201.246118	131.5294644	104.4030651	130.3840481	44.72135955	85.44003745	100.4987562	60.8276253	128.0624847	114.0175425	14.14213562	152.6433752	139.2838828	133.4166406	106.3014581	110	110	89.4427191	166.4331698	183.5755975	158.113883	130.3840481	40	150	72.80109889	134.5362405	184.3908891	116.6190379	63.2455532	80.62257748	92.19544457	156.2049935	31.6227766	53.85164807	120.4159458	156.5247584	102.9563014	131.5294644	183.8477631	72.80109889	63.2455532	111.8033989	114.0175425	171.1724277	100.4987562	170.2938637	98.48857802	128.0624847	156.5247584	134.5362405	108.1665383	111.8033989	111.8033989	143.1782106	177.2004515	53.85164807	63.2455532	82.46211251	169.7056275	120.4159458	90	131.5294644	130.3840481	127.2792206	143.1782106	161.245155	78.10249676	142.126704	172.0465053	193.1320792	158.113883	171.1724277	139.2838828	130	113.137085	20	50.99019514	121.6552506	134.1640786	143.1782106	147.6482306	228.035085	94.86832981
11	70.71067812	210.2379604	287.923601	80.62257748	140	78.10249676	104.4030651	284.4292531	188.6796226	170.8800749	0	85.44003745	257.0992026	67.08203932	158.113883	50	89.4427191	36.05551275	300.8321791	136.0147051	235.3720459	144.222051	256.3201124	78.10249676	225.6102835	260.7680962	281.7800561	177.2004515	36.05551275	31.6227766	42.42640687	152.6433752	167.6305461	276.5863337	82.46211251	301.4962686	30	291.5475947	76.15773106	134.1640786	281.6025568	191.0497317	67.08203932	28.28427125	60	107.7032961	120.4159458	253.179778	56.56854249	147.6482306	178.0449381	241.8677324	326.9556545	212.1320344	50	298.3286778	140.3566885	128.0624847	125.2996409	231.9482701	41.23105626	269.2582404	58.30951895	250.7987241	243.3105012	120.4159458	253.179778	222.0360331	148.6606875	281.6025568	313.8470965	14.14213562	140.3566885	216.3330765	113.137085	286.3564213	85.44003745	257.0992026	193.1320792	270.1851217	76.15773106	206.1552813	113.137085	245.9674775	254.9509757	44.72135955	131.5294644	98.99494937	80.62257748	290.1723626	125.2996409	240.8318916	152.3154621	120.8304597	152.3154621	228.035085	30	133.4166406	82.46211251	133.4166406
12	134.5362405	131.5294644	202.4845673	56.56854249	67.08203932	42.42640687	86.02325267	200.9975124	106.3014581	85.44003745	85.44003745	0	192.3538406	58.30951895	100.4987562	72.11102551	64.03124237	116.6190379	215.8703314	86.02325267	170	64.03124237	170.8800749	28.28427125	141.4213562	186.8154169	197.2308292	92.19544457	70.71067812	53.85164807	50	100	113.137085	192.3538406	10	228.035085	100	218.4032967	64.03124237	50	208.8061302	116.6190379	63.2455532	100.4987562	36.05551275	22.36067977	56.56854249	170.2938637	80.62257748	64.03124237	100	170.8800749	241.6609195	143.1782106	50.99019514	232.594067	72.11102551	53.85164807	82.46211251	161.5549442	90.55385138	184.3908891	94.33981132	170.2938637	174.642492	110.4536102	183.8477631	152.3154621	100	196.468827	228.4731932	92.19544457	63.2455532	134.5362405	50	219.317122	60	172.626765	141.4213562	194.1648784	60.8276253	155.5634919	110	161.245155	187.8829423	92.19544457	141.4213562	100.4987562	102.9563014	210.9502311	94.86832981	167.6305461	67.08203932	36.05551275	108.1665383	166.4331698	58.30951895	111.8033989	148.6606875	78.10249676
13	260.1922366	80.62257748	161.245155	246.9817807	125.2996409	233.2380758	272.0294102	114.0175425	183.5755975	150	257.0992026	192.3538406	0	250.5992817	248.394847	212.1320344	252.3885893	271.6615541	145.6021978	121.6552506	22.36067977	191.0497317	150.3329638	219.544984	114.0175425	41.23105626	190	136.0147051	223.6067977	230.8679276	237.6972865	254.9509757	90.55385138	121.6552506	187.8829423	58.30951895	251.7935662	50	255.5386468	176.9180601	42.42640687	219.544984	192.3538406	281.6025568	199.2485885	180.2775638	139.2838828	100	210.9502311	176.9180601	202.4845673	31.6227766	196.468827	50	241.6609195	41.23105626	120.8304597	205.1828453	254.9509757	36.05551275	278.5677655	130.3840481	220.2271555	80	22.36067977	161.245155	20	42.42640687	110.4536102	141.4213562	184.3908891	269.2582404	130.3840481	193.1320792	220.2271555	30	172.626765	120	70.71067812	53.85164807	182.4828759	63.2455532	171.1724277	172.626765	10	230.8679276	330.1514804	180.2775638	295.2964612	80.62257748	140	41.23105626	162.788206	178.0449381	110	30	228.035085	290.6888371	270.7397274	123.6931688
14	136.0147051	186.8154169	243.3105012	14.14213562	125.2996409	20	40	250.1999201	136.0147051	130	67.08203932	58.30951895	250.5992817	0	92.19544457	90.55385138	22.36067977	102.9563014	260.7680962	141.4213562	228.2542442	92.19544457	212.1320344	31.6227766	190.2629759	243.5159132	230.8679276	140.3566885	80	50	30	86.02325267	170.2938637	240	64.03124237	284.6049894	94.86832981	275.1363298	10	90	265.7066051	130.3840481	94.86832981	64.03124237	67.08203932	72.80109889	114.0175425	220.9072203	100.4987562	100.4987562	120.8304597	228.4731932	278.9265136	201.246118	20	290.6888371	130.3840481	72.80109889	58.30951895	219.317122	44.72135955	230.2172887	110	223.6067977	232.594067	152.3154621	241.6609195	210.2379604	155.5634919	240.8318916	266.8332813	64.03124237	120.8304597	161.5549442	53.85164807	277.3084925	102.9563014	220	198.4943324	250	98.48857802	212.6029163	148.6606875	196.468827	245.9674775	100.4987562	86.02325267	136.0147051	44.72135955	264.7640459	144.222051	224.7220505	110	80.62257748	162.788206	224.7220505	60	70	148.6606875	134.5362405
15	223.6067977	169.7056275	182.4828759	78.10249676	139.2838828	80.62257748	67.08203932	206.1552813	76.15773106	98.99494937	158.113883	100.4987562	248.394847	92.19544457	0	167.6305461	70.71067812	194.1648784	206.1552813	174.642492	228.035085	58.30951895	155.241747	85.44003745	152.6433752	226.715681	160	113.137085	161.5549442	134.1640786	116.6190379	10	193.1320792	193.1320792	110.4536102	264.0075756	183.5755975	256.1249695	84.85281374	76.15773106	248.394847	50	162.788206	155.5634919	133.4166406	90.55385138	143.1782106	183.5755975	177.2004515	72.11102551	53.85164807	219.317122	210	200	108.1665383	282.8427125	148.6606875	50.99019514	36.05551275	212.6029163	134.5362405	180.2775638	189.7366596	194.1648784	226.715681	210	233.4523506	206.1552813	186.8154169	186.8154169	200.2498439	156.2049935	130	90.55385138	50.99019514	268.7005769	160.3121954	174.642492	219.317122	228.035085	161.245155	232.594067	210.2379604	131.5294644	240.8318916	183.8477631	110	200.9975124	111.8033989	233.2380758	191.0497317	212.1320344	86.02325267	82.46211251	196.468827	230.2172887	143.1782106	60	237.0653918	164.924225
16	64.03124237	174.642492	264.1968963	100	104.4030651	90.55385138	130.3840481	252.9822128	176.9180601	150	50	72.11102551	212.1320344	90.55385138	167.6305461	0	110	60	273.1300057	90.55385138	191.0497317	136.0147051	233.2380758	82.46211251	196.977156	220.2271555	264.0075756	152.6433752	14.14213562	41.23105626	60.8276253	164.924225	121.6552506	246.9817807	64.03124237	260	40	250	100.4987562	120.4159458	240	188.6796226	20	78.10249676	36.05551275	92.19544457	82.46211251	221.3594362	10	134.5362405	172.0465053	200	305.2867504	170	70.71067812	253.179778	101.9803903	125.2996409	141.4213562	190	86.02325267	241.6609195	22.36067977	215.8703314	200.2498439	70.71067812	210.2379604	180	101.9803903	254.9509757	291.5475947	64.03124237	107.7032961	205.1828453	117.0469991	241.8677324	40	228.4731932	145.6021978	230.8679276	30	158.113883	64.03124237	228.035085	210.9502311	22.36067977	170.8800749	50	120.8304597	253.179778	76.15773106	200.2498439	134.5362405	106.3014581	104.4030651	182.4828759	31.6227766	160.3121954	78.10249676	90
17	158.113883	183.8477631	230.8679276	10	128.0624847	22.36067977	22.36067977	241.8677324	121.6552506	121.6552506	89.4427191	64.03124237	252.3885893	22.36067977	70.71067812	110	0	125.2996409	250	150	230.2172887	80	200.2498439	36.05551275	182.4828759	241.6609195	215.8703314	133.4166406	100.4987562	70.71067812	50.99019514	64.03124237	176.9180601	230.8679276	72.11102551	282.3118843	117.0469991	273.1300057	14.14213562	82.46211251	264.0075756	111.8033989	111.8033989	84.85281374	82.46211251	72.11102551	120.4159458	213.7755833	120	90.55385138	104.4030651	228.2542442	264.7640459	202.4845673	41.23105626	291.5475947	134.5362405	60	36.05551275	219.544984	64.03124237	220.2271555	130.3840481	218.4032967	233.2380758	167.6305461	241.8677324	210.9502311	164.0121947	230	253.179778	86.02325267	122.0655562	145.6021978	40	277.8488798	117.0469991	210.9502311	205.1828453	246.9817807	114.0175425	219.317122	164.924225	182.4828759	246.9817807	121.6552506	78.10249676	152.9705854	50	259.6150997	156.5247584	223.6067977	101.9803903	76.15773106	172.0465053	228.035085	80.62257748	50.99019514	170.8800749	142.126704
18	41.23105626	233.4523506	317.8049716	116.6190379	162.788206	114.0175425	139.2838828	310.4834939	222.0360331	201.246118	36.05551275	116.6190379	271.6615541	102.9563014	194.1648784	60	125.2996409	0	328.9376841	150.3329638	250.7987241	178.0449381	286.3564213	113.137085	252.9822128	280.1785145	313.8470965	206.1552813	50.99019514	64.03124237	78.10249676	188.6796226	181.1077028	303.644529	111.8033989	320	20	310	111.8033989	166.4331698	300	226.27417	80	50	85.44003745	138.9244399	141.4213562	278.9265136	60.8276253	180.2775638	212.6029163	260	357.7708764	230	86.02325267	312.5699922	161.245155	162.788206	161.245155	250	70.71067812	297.3213749	53.85164807	274.5906044	260.1922366	120.8304597	270.1851217	240	161.245155	310.1612484	344.3835072	41.23105626	164.924225	250	148.6606875	301.4962686	100	284.6049894	203.9607805	290.6888371	90	215.8703314	111.8033989	277.8488798	270.7397274	41.23105626	160	98.48857802	110.4536102	312.5699922	133.4166406	260.1922366	183.5755975	152.6433752	162.788206	241.8677324	58.30951895	167.6305461	50	150
19	335.4101966	106.3014581	28.28427125	250.1999201	170	240.8318916	260.7680962	31.6227766	131.5294644	131.5294644	300.8321791	215.8703314	145.6021978	260.7680962	206.1552813	273.1300057	250	328.9376841	0	200	143.1782106	170	50.99019514	231.9482701	76.15773106	104.4030651	64.03124237	123.6931688	278.5677655	269.2582404	264.7640459	215.8703314	183.8477631	28.28427125	218.4032967	110.4536102	310.1612484	110	260.1922366	171.1724277	110.4536102	158.113883	254.9509757	315.7530681	243.5159132	194.1648784	192.3538406	56.56854249	277.3084925	160.3121954	152.9705854	120.8304597	50.99019514	136.0147051	263.0589288	150	174.9285568	190	231.9482701	125.2996409	302.654919	31.6227766	290.6888371	72.11102551	130	256.1249695	126.4911064	130.3840481	198.4943324	20	40	308.058436	165.5294536	117.0469991	210	140.3566885	237.0653918	44.72135955	186.0107524	92.19544457	245.9674775	188.6796226	264.0075756	76.15773106	136.0147051	295.4657341	314.0063694	266.2705391	300	70	228.035085	111.8033989	151.3274595	182.4828759	205.1828453	156.5247584	272.0294102	264.7640459	348.8552709	194.1648784
20	143.1782106	94.33981132	197.9898987	142.126704	41.23105626	128.0624847	172.0465053	174.9285568	143.1782106	104.4030651	136.0147051	86.02325267	121.6552506	141.4213562	174.642492	90.55385138	150	150.3329638	200	0	100.4987562	120.4159458	170.2938637	114.0175425	127.2792206	131.5294644	208.0865205	98.48857802	101.9803903	111.8033989	122.0655562	177.2004515	31.6227766	172.0465053	78.10249676	170.2938637	130.3840481	160.3121954	148.6606875	100.4987562	150.3329638	170.2938637	70.71067812	161.5549442	80.62257748	85.44003745	31.6227766	144.222051	90	110	150.3329638	110.4536102	240.4163056	80.62257748	128.0624847	162.788206	31.6227766	123.6931688	165.5294536	100.4987562	161.245155	170.2938637	100.4987562	134.1640786	110	56.56854249	120	90.55385138	14.14213562	184.3908891	226.27417	148.6606875	50.99019514	167.6305461	130	151.3274595	50.99019514	156.2049935	58.30951895	143.1782106	60.8276253	72.11102551	64.03124237	174.9285568	120.4159458	110	226.715681	67.08203932	184.3908891	167.6305461	28.28427125	111.8033989	100.4987562	92.19544457	22.36067977	92.19544457	107.7032961	197.2308292	155.241747	10
