param n=100;
param m=4;
param K = 18;
param Q = 60;
param L =40;
param HC:= 
1 239.453
2 231.682
3 268.779
4 259.268;

param o:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100:=
4	233.4523506	238.5372088	126.4911064	0	143.1782106	136.0147051	161.245155	255.5386468	150.3329638	172.626765	60.8276253	90	60.8276253	22.36067977	236.0084744	22.36067977	224.7220505	208.0865205	143.1782106	180.2775638	41.23105626	90.55385138	56.56854249	121.6552506	120.4159458	162.788206	128.0624847	120	251.7935662	42.42640687	140.3566885	134.1640786	42.42640687	210.2379604	240.8318916	104.4030651	104.4030651	101.9803903	41.23105626	170.8800749	72.80109889	192.0937271	98.48857802	198.4943324	150	92.19544457	94.33981132	104.4030651	58.30951895	310.6444913	90.55385138	80.62257748	170.2938637	169.7056275	180.2775638	116.6190379	156.2049935	250.5992817	164.0121947	283.019434	80.62257748	210.2379604	214.7091055	226.715681	131.5294644	158.113883	100	184.3908891	181.1077028	107.7032961	148.6606875	188.6796226	110.4536102	84.85281374	158.113883	130.3840481	220.9072203	212.1320344	160.3121954	252.3885893	165.5294536	140.3566885	212.1320344	260.1922366	200	230.2172887	22.36067977	216.3330765	100.4987562	14.14213562	241.8677324	31.6227766	170.2938637	213.7755833	120.4159458	160.3121954	212.6029163	161.245155	268.3281573	221.3594362
5	200.9975124	170.8800749	234.3074903	143.1782106	0	70.71067812	110	178.8854382	41.23105626	30	203.9607805	58.30951895	89.4427191	158.113883	177.2004515	164.924225	130.3840481	152.9705854	240.4163056	282.8427125	184.3908891	64.03124237	100.4987562	219.317122	212.1320344	152.9705854	143.1782106	205.1828453	110	110	226.715681	250	180.2775638	72.80109889	100.4987562	40	214.0093456	41.23105626	107.7032961	92.19544457	70.71067812	150.3329638	216.3330765	180.2775638	158.113883	70.71067812	219.544984	72.11102551	136.0147051	233.2380758	192.0937271	72.11102551	162.788206	151.3274595	184.3908891	98.48857802	155.241747	170	164.924225	205.9126028	186.0107524	80.62257748	139.2838828	200.2498439	226.27417	167.6305461	50	150	41.23105626	80.62257748	80	194.1648784	205.1828453	219.317122	120.4159458	219.317122	94.33981132	70	44.72135955	183.8477631	100.4987562	40	92.19544457	126.4911064	151.3274595	98.48857802	150.3329638	155.241747	198.4943324	155.241747	165.5294536	161.5549442	50	70.71067812	28.28427125	242.0743687	190	180.2775638	180.2775638	122.0655562
6	133.4166406	114.0175425	187.8829423	136.0147051	70.71067812	0	41.23105626	127.2792206	36.05551275	80.62257748	192.3538406	56.56854249	76.15773106	141.4213562	116.6190379	152.9705854	89.4427191	89.4427191	188.6796226	230.2172887	172.626765	50	120.4159458	170	161.245155	82.46211251	78.10249676	152.6433752	138.9244399	122.0655562	172.0465053	206.1552813	160.3121954	94.33981132	125.2996409	76.15773106	170.8800749	67.08203932	94.86832981	36.05551275	84.85281374	82.46211251	177.2004515	110	89.4427191	44.72135955	184.3908891	31.6227766	100.4987562	183.8477631	148.6606875	58.30951895	92.19544457	80.62257748	114.0175425	36.05551275	85.44003745	120.4159458	94.86832981	155.5634919	145.6021978	85.44003745	84.85281374	131.5294644	174.9285568	98.48857802	50	80.62257748	78.10249676	30	14.14213562	123.6931688	156.5247584	191.0497317	50	166.4331698	92.19544457	106.3014581	42.42640687	128.0624847	36.05551275	31.6227766	80.62257748	133.4166406	85.44003745	104.4030651	152.3154621	94.33981132	152.3154621	143.1782106	113.137085	140.3566885	50	113.137085	50.99019514	184.3908891	120.4159458	111.8033989	136.0147051	85.44003745
7	92.19544457	78.10249676	184.3908891	161.245155	110	41.23105626	0	94.33981132	70.71067812	114.0175425	211.896201	94.33981132	106.3014581	161.5549442	78.10249676	174.642492	70	50	180.2775638	219.317122	193.1320792	86.02325267	156.2049935	164.924225	155.241747	50	63.2455532	145.6021978	155.5634919	155.5634919	161.5549442	203.9607805	177.2004515	114.0175425	141.4213562	117.0469991	171.1724277	107.7032961	122.0655562	28.28427125	122.0655562	41.23105626	180.2775638	70.71067812	64.03124237	78.10249676	190	64.03124237	114.0175425	150	150.3329638	92.19544457	58.30951895	44.72135955	80.62257748	44.72135955	56.56854249	89.4427191	64.03124237	122.0655562	150	98.99494937	53.85164807	90.55385138	167.6305461	70.71067812	89.4427191	40	107.7032961	56.56854249	30	89.4427191	152.9705854	200.9975124	14.14213562	158.113883	100	130.3840481	72.80109889	92.19544457	14.14213562	70	86.02325267	138.9244399	44.72135955	114.0175425	180.2775638	56.56854249	151.3274595	165.5294536	80.62257748	158.113883	76.15773106	138.9244399	92.19544457	170	80	84.85281374	107.7032961	70.71067812
8	72.11102551	20	260.1922366	255.5386468	178.8854382	127.2792206	94.33981132	0	138.9244399	167.6305461	304.6309242	183.8477631	200	254.9509757	31.6227766	268.3281573	50.99019514	50.99019514	250.1999201	282.8427125	286.3564213	176.9180601	247.5883681	240.208243	230.2172887	110.4536102	143.1782106	220.2271555	162.788206	248.394847	230.2172887	280.1785145	269.2582404	140.3566885	151.3274595	200	251.7935662	192.0937271	216.3330765	92.19544457	212.1320344	70.71067812	263.0589288	92.19544457	130.3840481	170.2938637	274.5906044	156.2049935	206.1552813	56.56854249	233.4523506	184.3908891	110	100.4987562	121.6552506	138.9244399	120.4159458	10	120	28.28427125	235.3720459	120.4159458	42.42640687	80.62257748	240	130	176.9180601	80.62257748	155.241747	150	113.137085	123.6931688	230.8679276	288.6173938	98.48857802	230	110	160.3121954	134.1640786	14.14213562	92.19544457	144.222051	100.4987562	126.4911064	60.8276253	120.4159458	274.5906044	41.23105626	231.9482701	259.4224354	14.14213562	250.7987241	130	170.2938637	172.0465053	231.9482701	85.44003745	140.3566885	22.36067977	60.8276253
9	160.3121954	130	219.544984	150.3329638	41.23105626	36.05551275	70.71067812	138.9244399	0	44.72135955	210	60.8276253	90	160.3121954	136.0147051	170	92.19544457	111.8033989	222.0360331	264.0075756	190	60	120.8304597	202.4845673	194.1648784	117.0469991	114.0175425	186.0107524	107.7032961	126.4911064	206.1552813	237.0653918	181.1077028	63.2455532	94.86832981	64.03124237	201.246118	58.30951895	110	50.99019514	85.44003745	110	206.1552813	141.4213562	125.2996409	60.8276253	211.896201	53.85164807	126.4911064	194.1648784	178.8854382	70	126.4911064	114.0175425	148.6606875	70.71067812	120.8304597	130.3840481	130	166.4331698	174.642492	60	98.48857802	160	208.0865205	134.1640786	50.99019514	110.4536102	42.42640687	58.30951895	41.23105626	158.113883	188.6796226	215.8703314	82.46211251	200	70.71067812	72.11102551	10	143.1782106	60	10	63.2455532	110	110.4536102	80	162.788206	114.0175425	183.5755975	160	125.2996409	161.245155	20	78.10249676	36.05551275	219.317122	150.3329638	147.6482306	142.126704	84.85281374
10	200.2498439	162.788206	258.069758	172.626765	30	80.62257748	114.0175425	167.6305461	44.72135955	0	233.4523506	85.44003745	117.0469991	186.8154169	171.1724277	194.1648784	117.0469991	150	262.488095	304.7950131	213.7755833	89.4427191	130.3840481	242.0743687	234.3074903	161.5549442	158.113883	226.715681	80	140	247.5883681	274.5906044	208.8061302	44.72135955	70.71067812	70	238.5372088	70.71067812	136.0147051	90.55385138	100.4987562	151.3274595	241.8677324	184.3908891	170	94.33981132	245.9674775	92.19544457	161.245155	219.317122	216.3330765	98.48857802	170.8800749	158.113883	193.1320792	114.0175425	165.5294536	158.113883	174.642492	193.1320792	210.9502311	56.56854249	131.5294644	200.9975124	248.394847	178.8854382	76.15773106	152.9705854	14.14213562	98.99494937	85.44003745	202.4845673	228.035085	246.9817807	126.4911064	240.8318916	70.71067812	40	41.23105626	174.642492	101.9803903	50	72.11102551	98.48857802	150.3329638	72.11102551	180.2775638	150.3329638	222.0360331	184.3908891	155.241747	189.7366596	40	41.23105626	53.85164807	261.7250466	192.3538406	192.3538406	165.5294536	107.7032961
11	272.0294102	286.3564213	111.8033989	60.8276253	203.9607805	192.3538406	211.896201	304.6309242	210	233.4523506	0	150.3329638	120	50.99019514	281.7800561	40	278.9265136	254.9509757	133.4166406	160	20	150	111.8033989	117.0469991	120.8304597	202.4845673	166.4331698	125.2996409	312.5699922	98.48857802	139.2838828	110	36.05551275	270.7397274	301.4962686	164.924225	94.86832981	162.788206	100	225.6102835	133.4166406	237.0653918	82.46211251	236.0084744	186.0107524	150.3329638	70.71067812	161.245155	98.48857802	357.7708764	94.33981132	140	208.0865205	210.9502311	212.6029163	167.6305461	194.1648784	300.8321791	200	331.0589071	86.02325267	270	265.7066051	264.0075756	126.4911064	192.0937271	160.3121954	228.2542442	241.8677324	162.788206	203.9607805	219.317122	111.8033989	50	206.1552813	130	280.1785145	272.9468813	220	299.6664813	218.4032967	200	270.7397274	320	245.9674775	290	58.30951895	264.0075756	102.9563014	50	291.5475947	53.85164807	230	274.5906044	181.1077028	158.113883	250	191.0497317	319.5309062	276.5863337
12	183.8477631	170.2938637	176.9180601	90	58.30951895	56.56854249	94.33981132	183.8477631	60.8276253	85.44003745	150.3329638	0	31.6227766	101.9803903	172.0465053	110.4536102	144.222051	144.222051	184.3908891	226.715681	130.3840481	10	64.03124237	162.788206	156.2049935	121.6552506	100.4987562	150	162.788206	67.08203932	172.0465053	192.0937271	123.6931688	120.4159458	151.3274595	31.6227766	156.2049935	22.36067977	50.99019514	92.19544457	28.28427125	134.1640786	158.113883	155.241747	120	20	161.245155	31.6227766	78.10249676	240.4163056	134.5362405	14.14213562	131.5294644	123.6931688	150.3329638	60.8276253	120.4159458	176.9180601	130.3840481	212.1320344	128.0624847	120.4159458	141.4213562	180.2775638	170.2938637	130	10	130	92.19544457	41.23105626	70.71067812	160.3121954	148.6606875	161.5549442	98.48857802	164.0121947	131.5294644	123.6931688	70.71067812	184.3908891	92.19544457	50.99019514	123.6931688	170.2938637	138.9244399	140.3566885	101.9803903	150	141.4213562	100.4987562	169.7056275	104.4030651	80.62257748	126.4911064	31.6227766	188.6796226	167.6305461	140.3566885	192.0937271	138.9244399
13	188.6796226	184.3908891	148.6606875	60.8276253	89.4427191	76.15773106	106.3014581	200	90	117.0469991	120	31.6227766	0	70.71067812	183.8477631	80	165.5294536	155.5634919	158.113883	200	100	30	53.85164807	136.0147051	130.3840481	120.8304597	92.19544457	125.2996409	194.1648784	50	147.6482306	162.788206	92.19544457	151.3274595	182.4828759	56.56854249	127.2792206	50	20	111.8033989	31.6227766	142.126704	128.0624847	156.5247584	114.0175425	31.6227766	130.3840481	44.72135955	50	256.1249695	106.3014581	20	130	125.2996409	145.6021978	64.03124237	117.0469991	194.1648784	126.4911064	228.035085	98.99494937	150	158.113883	183.5755975	144.222051	123.6931688	41.23105626	136.0147051	123.6931688	50	89.4427191	155.241747	122.0655562	130	106.3014581	138.9244399	160.3121954	155.241747	100	198.4943324	108.1665383	80	151.3274595	200	148.6606875	170	76.15773106	162.788206	114.0175425	70	186.0107524	72.80109889	110	158.113883	63.2455532	165.5294536	170	131.5294644	210.9502311	161.5549442
14	226.715681	237.0653918	104.4030651	22.36067977	158.113883	141.4213562	161.5549442	254.9509757	160.3121954	186.8154169	50.99019514	101.9803903	70.71067812	0	233.2380758	14.14213562	228.035085	205.9126028	121.6552506	158.113883	31.6227766	100.4987562	78.10249676	100.4987562	100	156.2049935	120.4159458	100.4987562	264.7640459	64.03124237	120	111.8033989	22.36067977	222.0360331	253.179778	120.8304597	82.46211251	117.0469991	50.99019514	174.642492	89.4427191	188.6796226	76.15773106	191.0497317	141.4213562	100	72.11102551	110.4536102	50	308.8689042	70	90.55385138	162.788206	164.0121947	170.2938637	117.0469991	148.6606875	250.7987241	155.5634919	281.7800561	60	220.2271555	215.4065923	219.317122	110.4536102	148.6606875	111.8033989	180.2775638	194.1648784	111.8033989	152.9705854	178.0449381	90	64.03124237	156.5247584	110	230	225.6102835	170.2938637	250.5992817	167.6305461	150.3329638	220.2271555	270.1851217	197.2308292	240.208243	40	214.7091055	80	10	241.6609195	10	180.2775638	228.035085	133.4166406	140	205.1828453	150	269.2582404	225.6102835
15	42.42640687	14.14213562	230.8679276	236.0084744	177.2004515	116.6190379	78.10249676	31.6227766	136.0147051	171.1724277	281.7800561	172.0465053	183.8477631	233.2380758	0	246.9817807	63.2455532	28.28427125	220	251.7935662	264.1968963	164.0121947	234.3074903	210.9502311	200.9975124	82.46211251	117.0469991	191.0497317	180.2775638	233.4523506	200	250.7987241	245.9674775	151.3274595	167.6305461	192.3538406	223.6067977	183.5755975	198.4943324	85.44003745	200	44.72135955	235.3720459	60.8276253	101.9803903	156.2049935	247.3863375	142.126704	183.5755975	76.15773106	206.1552813	170.2938637	80.62257748	72.80109889	90.55385138	120.4159458	92.19544457	36.05551275	90.55385138	50.99019514	208.8061302	131.5294644	40	50	210.2379604	100.4987562	166.4331698	53.85164807	160.3121954	134.5362405	102.9563014	92.19544457	202.2374842	262.488095	78.10249676	200.2498439	123.6931688	171.1724277	133.4166406	20	80.62257748	139.2838828	111.8033989	147.6482306	36.05551275	136.0147051	256.1249695	22.36067977	203.9607805	238.5372088	28.28427125	228.2542442	131.5294644	181.1077028	165.5294536	200.9975124	53.85164807	110	53.85164807	72.80109889
16	240.8318916	250.5992817	111.8033989	22.36067977	164.924225	152.9705854	174.642492	268.3281573	170	194.1648784	40	110.4536102	80	14.14213562	246.9817807	0	240.4163056	219.544984	130.3840481	164.924225	20	110	78.10249676	110	110.4536102	170.2938637	134.5362405	111.8033989	272.9468813	64.03124237	130.3840481	117.0469991	22.36067977	230.8679276	261.7250466	126.4911064	90.55385138	123.6931688	60	186.8154169	94.86832981	202.4845673	82.46211251	205.1828453	155.5634919	110.4536102	76.15773106	121.6552506	64.03124237	322.4903099	80.62257748	100	176.9180601	178.0449381	184.3908891	130	162.788206	264.0075756	169.7056275	295.2964612	70.71067812	230	228.4731932	233.4523506	120	162.788206	120.4159458	194.1648784	202.2374842	123.6931688	164.924225	192.0937271	100.4987562	64.03124237	170	120.4159458	240.208243	233.4523506	180	264.1968963	180.2775638	160	230.8679276	280	210.9502311	250	31.6227766	228.2542442	90.55385138	10	254.9509757	22.36067977	190	235.3720459	141.4213562	150.3329638	219.317122	164.0121947	282.3118843	237.6972865
17	102.9563014	50.99019514	253.179778	224.7220505	130.3840481	89.4427191	70	50.99019514	92.19544457	117.0469991	278.9265136	144.222051	165.5294536	228.035085	63.2455532	240.4163056	0	56.56854249	247.3863375	284.6049894	259.6150997	138.9244399	208.0865205	233.4523506	223.6067977	107.7032961	131.5294644	213.7755833	117.0469991	210.9502311	228.035085	272.9468813	245.1530134	90	104.4030651	155.5634919	240.8318916	148.6606875	183.8477631	53.85164807	172.0465053	72.11102551	250.1999201	106.3014581	126.4911064	134.1640786	260	120.8304597	182.4828759	102.9563014	220.2271555	147.6482306	111.8033989	98.48857802	130.3840481	111.8033989	117.0469991	41.23105626	120.8304597	76.15773106	220	70	28.28427125	108.1665383	235.3720459	130	136.0147051	80.62257748	104.4030651	117.0469991	76.15773106	136.0147051	222.0360331	270.7397274	80.62257748	225.6102835	60.8276253	110	86.02325267	60	60.8276253	98.99494937	50	86.02325267	64.03124237	72.80109889	241.6609195	50	220.9072203	230.8679276	40	225.6102835	80.62257748	120	127.2792206	234.0939982	106.3014581	143.1782106	50	10
18	50.99019514	31.6227766	210	208.0865205	152.9705854	89.4427191	50	50.99019514	111.8033989	150	254.9509757	144.222051	155.5634919	205.9126028	28.28427125	219.544984	56.56854249	0	200.9975124	235.3720459	237.0653918	136.0147051	206.1552813	190	180	60	92.19544457	170	170	205.1828453	181.1077028	230	219.317122	136.0147051	156.5247584	165.5294536	200.9975124	156.5247584	170.2938637	60.8276253	172.0465053	20	212.1320344	50	80	128.0624847	223.6067977	114.0175425	156.5247584	102.9563014	182.4828759	142.126704	60.8276253	50	76.15773106	92.19544457	70	50	70.71067812	76.15773106	184.3908891	117.0469991	28.28427125	53.85164807	190.2629759	80.62257748	138.9244399	30	140.3566885	106.3014581	76.15773106	80.62257748	180.2775638	237.6972865	50	180.2775638	111.8033989	155.241747	110.4536102	44.72135955	53.85164807	114.0175425	98.48857802	142.126704	10	125.2996409	228.035085	10	181.1077028	210.9502311	40	201.246118	110	164.924225	139.2838828	184.3908891	50	92.19544457	70	64.03124237
19	192.3538406	230.2172887	22.36067977	143.1782106	240.4163056	188.6796226	180.2775638	250.1999201	222.0360331	262.488095	133.4166406	184.3908891	158.113883	121.6552506	220	130.3840481	247.3863375	200.9975124	0	42.42640687	130.3840481	176.9180601	193.1320792	22.36067977	28.28427125	141.4213562	117.0469991	36.05551275	327.5667871	180.2775638	20	36.05551275	110	283.019434	313.8470965	214.0093456	40	206.1552813	147.6482306	206.1552813	188.6796226	181.1077028	50.99019514	160.3121954	121.6552506	169.7056275	63.2455532	170.2938637	108.1665383	291.5475947	53.85164807	170.2938637	140.3566885	151.3274595	130.3840481	152.6433752	131.5294644	250.7987241	130.3840481	270.1851217	63.2455532	272.9468813	223.6067977	182.4828759	14.14213562	120.4159458	191.0497317	171.1724277	264.0075756	164.0121947	192.3538406	131.5294644	36.05551275	85.44003745	167.6305461	22.36067977	277.3084925	294.1088234	230.2172887	240	193.1320792	214.0093456	264.0075756	317.8049716	191.0497317	290.6888371	161.245155	210.9502311	44.72135955	131.5294644	240.8318916	111.8033989	238.5372088	300	212.1320344	28.28427125	171.1724277	110	270.7397274	250
20	220	263.0589288	53.85164807	180.2775638	282.8427125	230.2172887	219.317122	282.8427125	264.0075756	304.7950131	160	226.715681	200	158.113883	251.7935662	164.924225	284.6049894	235.3720459	42.42640687	0	161.245155	219.317122	232.594067	64.03124237	70.71067812	177.2004515	156.5247584	78.10249676	368.9173349	219.317122	58.30951895	50	143.1782106	324.4996148	355.1056181	256.1249695	76.15773106	248.394847	188.6796226	245.9674775	230.2172887	215.8703314	82.46211251	191.0497317	158.113883	212.1320344	90.55385138	212.6029163	150	320	94.33981132	212.6029163	174.642492	186.8154169	161.245155	194.1648784	167.6305461	284.4292531	164.924225	300.6659276	102.9563014	313.8470965	259.6150997	210	56.56854249	155.241747	233.4523506	206.1552813	306.1045573	206.1552813	233.2380758	160.3121954	78.10249676	110	206.1552813	64.03124237	317.6476035	336.0059523	272.0294102	271.6615541	232.594067	256.1249695	304.1381265	357.7708764	225.6102835	331.2099032	196.468827	245.1530134	86.02325267	167.6305461	274.5906044	148.6606875	280.1785145	342.0526275	254.5584412	50.99019514	200.2498439	143.1782106	304.1381265	287.923601
